Last login: Thu Feb  8 11:15:29 on ttys000
Shivams-MacBook-Pro:~ shivamkumar$ ps -ef
  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   186     1   0  1:55PM ??         0:31.55 /usr/libexec/tailspind
    0   189     1   0  1:55PM ??         0:03.44 /usr/libexec/ApplicationFirewall/socketfilterfw
    0   190     1   0  1:55PM ??         0:00.06 /usr/libexec/apfsd
  262   191     1   0  1:55PM ??         0:00.14 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
    0   192     1   0  1:55PM ??         0:00.20 /usr/libexec/usbd
    0   193     1   0  1:55PM ??         0:00.74 /usr/libexec/powerlogd
    0   194     1   0  1:55PM ??         0:00.05 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
    0   195     1   0  1:55PM ??         0:00.98 /System/Library/PrivateFrameworks/SignpostNotification.framework/Versions/A/XPCServices/signpost_notificationd.xpc/Contents/MacOS/signpost_notificationd
    0   196     1   0  1:55PM ??         0:00.30 /usr/libexec/syspolicyd
    0   197     1   0  1:55PM ??         0:00.28 /usr/libexec/secinitd
    0   198     1   0  1:55PM ??         0:02.44 /usr/libexec/sysmond
   88   200     1   0  1:55PM ??        30:32.55 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
   24   204     1   0  1:55PM ??         0:05.54 /usr/libexec/symptomsd
  205   221     1   0  1:55PM ??         0:01.34 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   222     1   0  1:55PM ??         0:00.90 /usr/libexec/secinitd
  205   224     1   0  1:55PM ??         0:00.11 /usr/sbin/cfprefsd agent
    0   226    75   0  1:55PM ??         0:00.54 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  205   227     1   0  1:55PM ??         0:00.33 /usr/libexec/trustd --agent
    0   228     1   0  1:55PM ??         0:00.34 /usr/libexec/watchdogd
    0   229     1   0  1:55PM ??         0:00.09 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  202   230     1   0  1:55PM ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    0   232     1   0  1:55PM ??         0:00.12 /usr/libexec/thermald
    0   233     1   0  1:55PM ??         0:00.50 /usr/libexec/diskmanagementd
    0   252     1   0  1:55PM ??         0:01.61 /usr/libexec/sandboxd
    0   255     1   0  1:55PM ??         0:00.12 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
    0   264     1   0  1:55PM ??         0:12.08 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
